Jusidiction,States,2015 Households Without Vehicles,2016 Households Without Vehicles,2015 Vehicles per Household,2016 Vehicles per Household,,,,,
Richardson, Texas,0.037,0.037,1.91,1.84,,,,,
Richmond, California,0.117,0.081,1.68,1.89,,,,,
Richmond, Virginia,0.164,0.18,1.39,1.42,,,,,
Riverside, California,0.054,0.053,2.05,2.04,,,,,
Rochester, Minnesota,0.078,0.089,1.68,1.68,,,,,
Rochester, New York,0.268,0.265,1.1,1.14,,,,,
Rockford, Illinois,0.119,0.134,1.54,1.46,,,,,
Roseville, California,0.061,0.042,1.87,1.95,,,,,
Round Rock, Texas,0.028,0.027,1.93,1.99,,,,,
Sacramento, California,0.1,0.086,1.61,1.65,,,,,
Salem, Oregon,0.083,0.07,1.7,1.71,,,,,
Salinas, California,0.06,0.058,1.96,2.09,,,,,
Salt Lake City, Utah,0.106,0.106,1.6,1.62,,,,,
San Angelo, Texas,0.082,0.061,1.64,1.66,,,,,
San Antonio, Texas,0.084,0.083,1.68,1.71,,,,,
San Bernardino, California,0.117,0.111,1.71,1.8,,,,,
San Buenaventura, California,0.072,0.061,1.85,1.91,,,,,
San Diego, California,0.066,0.063,1.76,1.8,,,,,
San Francisco, California,0.312,0.299,1.07,1.1,,,,,
San Jose, California,0.055,0.051,2.07,2.12,,,,,
San Mateo, California,0.052,0.051,1.84,1.87,,,,,
Sandy Springs, Georgia,0.069,0.076,1.57,1.57,,,,,
Santa Ana, California,0.073,0.057,2.21,2.25,,,,,
Santa Clara, California,0.06,0.058,1.87,1.81,,,,,
Santa Clarita, California,0.04,0.037,2.06,2.15,,,,,
Santa Maria, California,0.062,0.055,2,1.98,,,,,
Santa Rosa, California,0.053,0.062,1.86,1.88,,,,,
Savannah, Georgia,0.139,0.137,1.45,1.43,,,,,
Scottsdale, Arizona,0.044,0.045,1.67,1.7,,,,,
Seattle, Washington,0.166,0.171,1.4,1.39,,,,,
Shreveport, Louisiana,0.11,0.136,1.53,1.5,,,,,
Simi Valley, California,0.023,0.041,2.26,2.29,,,,,
Sioux Falls, South Dakota,0.066,0.056,1.79,1.82,,,,,
South Bend, Indiana,0.125,0.136,1.44,1.43,,,,,
Spokane, Washington,0.109,0.094,1.68,1.66,,,,,
Spring Hill, Florida,0.039,0.047,1.65,1.75,,,,,
Spring Valley, Nevada,0.061,0.052,1.64,1.62,,,,,
Springfield, Illinois,0.119,0.106,1.52,1.52,,,,,
Springfield, Massachusetts,0.208,0.222,1.31,1.26,,,,,
Springfield, Missouri,0.097,0.093,1.56,1.56,,,,,
St. Louis, Missouri,0.197,0.185,1.25,1.27,,,,,
St. Paul, Minnesota,0.133,0.135,1.52,1.52,,,,,
St. Petersburg, Florida,0.096,0.093,1.49,1.52,,,,,
